@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric

@data
1,'2018/05/17 16:15:50:603',1,0.098438,0.833333,?
2,'2018/05/17 16:15:51:471',1,0.145313,0.805556,?
3,'2018/05/17 16:15:52:214',1,0.198437,0.752778,?
4,'2018/05/17 16:15:52:901',1,0.23125,0.758333,?
5,'2018/05/17 16:15:53:549',1,0.239063,0.694444,?
6,'2018/05/17 16:15:55:681',1,0.8875,0.205556,?
7,'2018/05/17 16:15:56:321',1,0.882813,0.302778,?
8,'2018/05/17 16:15:56:970',1,0.81875,0.372222,?
9,'2018/05/17 16:15:57:690',1,0.795313,0.5,?
10,'2018/05/17 16:15:58:442',1,0.748438,0.475,?
11,'2018/05/17 16:16:00:545',1,0.7125,0.544444,?
12,'2018/05/17 16:16:02:153',1,0.70625,0.619444,?
13,'2018/05/17 16:18:00:071',2,0.145313,0.819444,10
14,'2018/05/17 16:18:00:614',2,0.157813,0.822222,10
15,'2018/05/17 16:18:01:237',2,0.16875,0.788889,10
16,'2018/05/17 16:18:01:766',2,0.167187,0.755556,10
17,'2018/05/17 16:18:02:260',2,0.132813,0.788889,10
18,'2018/05/17 16:18:02:741',2,0.10625,0.791667,10
19,'2018/05/17 16:18:03:230',2,0.1625,0.752778,10
20,'2018/05/17 16:18:03:717',2,0.2,0.788889,10
21,'2018/05/17 16:18:04:172',2,0.225,0.755556,10
22,'2018/05/17 16:18:12:923',2,0.795313,0.272222,800
23,'2018/05/17 16:18:13:490',2,0.792188,0.333333,800
24,'2018/05/17 16:18:14:050',2,0.775,0.347222,800
25,'2018/05/17 16:18:14:569',2,0.751562,0.313889,800
26,'2018/05/17 16:18:15:042',2,0.776563,0.283333,800
27,'2018/05/17 16:18:15:475',2,0.820313,0.322222,800
28,'2018/05/17 16:18:15:931',2,0.782812,0.327778,800
