@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2018/05/17 15:54:49:642',1,0.282813,0.391667,1
2,'2018/05/17 15:54:50:322',1,0.276563,0.266667,1
3,'2018/05/17 15:54:51:106',1,0.223438,0.386111,1
4,'2018/05/17 15:54:51:827',1,0.160938,0.447222,1
5,'2018/05/17 15:54:53:074',1,0.217187,0.288889,1
6,'2018/05/17 15:54:53:682',1,0.170312,0.366667,1
7,'2018/05/17 15:54:54:361',1,0.198437,0.477778,1
8,'2018/05/17 15:54:55:059',1,0.246875,0.502778,1
9,'2018/05/17 15:54:55:705',1,0.242188,0.433333,1
10,'2018/05/17 15:54:56:227',1,0.265625,0.355556,1
11,'2018/05/17 15:54:56:826',1,0.175,0.277778,1
12,'2018/05/17 15:54:57:355',1,0.114063,0.369444,1
13,'2018/05/17 15:54:57:881',1,0.1,0.641667,1
14,'2018/05/17 15:54:58:442',1,0.326562,0.488889,1
15,'2018/05/17 15:54:58:883',1,0.198437,0.519444,1
16,'2018/05/17 15:54:59:387',1,0.1125,0.458333,1
17,'2018/05/17 15:54:59:834',1,0.15,0.597222,1
18,'2018/05/17 15:55:00:291',1,0.142188,0.527778,1
19,'2018/05/17 15:55:00:739',1,0.1,0.538889,1
20,'2018/05/17 15:55:08:704',2,0.84375,0.519444,2
21,'2018/05/17 15:55:09:208',2,0.81875,0.713889,2
22,'2018/05/17 15:55:09:770',2,0.701563,0.688889,2
23,'2018/05/17 15:55:10:267',2,0.785937,0.647222,2
24,'2018/05/17 15:55:11:195',2,0.764063,0.577778,2
25,'2018/05/17 15:55:11:707',2,0.754687,0.730556,2
26,'2018/05/17 15:55:12:211',2,0.748438,0.661111,2
27,'2018/05/17 15:55:12:764',2,0.723437,0.619444,2
28,'2018/05/17 15:55:13:194',2,0.751562,0.525,2
29,'2018/05/17 15:55:13:675',2,0.79375,0.558333,2
30,'2018/05/17 15:55:14:116',2,0.840625,0.647222,2
31,'2018/05/17 15:55:15:331',2,0.823438,0.483333,2
32,'2018/05/17 15:55:16:340',2,0.851563,0.591667,2
